algorithm,time,nodes,backtracks,prunes,checks,assignments,difficulty
Naive,0.0003962516784667969,33,2,0,177,32,Easy
Naive,0.019508838653564453,2108,2062,0,18789,2107,Medium
Naive,0.01026606559753418,519,463,0,4450,518,Hard
Naive,0.01683783531188965,1632,1566,0,14411,1631,Expert
MRV,0.0027451515197753906,31,0,0,465,30,Easy
MRV,0.005507230758666992,46,0,0,1035,45,Medium
MRV,0.00811624526977539,56,0,0,1540,55,Hard
MRV,0.028867721557617188,193,127,0,4959,192,Expert
Degree,0.02724289894104004,343,312,0,6940,342,Easy
MAC,0.007097959518432617,1,0,240,0,0,Easy
MAC,0.04708290100097656,331,943,931,0,981,Medium
MAC,4.781767129898071,31599,139760,108475,0,139815,Hard
MAC,16.01131796836853,81045,478517,397744,0,478582,Expert
ForwardChecking,0.004565000534057617,0,0,0,0,0,Easy
ForwardChecking,26,32,10,349,0.0028791427612304688,0,Medium
ForwardChecking,214,403,357,744,0.020593881607055664,0,Expert
Combined,0.0038809776306152344,31,0,0,695,30,Easy
Combined,0.008881807327270508,46,0,0,1211,45,Medium
Combined,0.023148059844970703,122,66,0,3639,121,Hard
Combined,0.014197111129760742,66,0,0,2344,65,Expert
